year,months,age,country,province,town,suburb,color,housing,stage,occupation
1981,12,0,South Africa,Free State,Welkom,Bedelia,#fb141e,Family - Mum,Infant,none
1982,12,1,South Africa,Free State,Welkom,Bedelia,#f8221f,Family - Mum,Infant,none
1983,10,2,South Africa,Free State,Welkom,Riebeekstad,#f53023,Family - Mum,Infant,none
1984,1,3,South Africa,Free State,Welkom,Bedelia,#f24028,Family - Mum,Child,Student - Pre-primary
1984,4,3,South Africa,Free State,Welkom,St Helena,#ef4f2c,Family - Mum,Child,Student - Pre-primary
1984,14,3,South Africa,Free State,Welkom,Naudeville,#ef5b30,Family - Mum,Child,Student - Primary
1985,54,4,South Africa,Free State,Welkom,Flamingo Park,#f27c32,Family - Mum,Child,Student - Primary
1990,3,9,United Kingdom,London,London,New Southgate,#f49d36,Family - Mum,Child,Student - Primary
1990,59,9,United Kingdom,West Midlands,Wolverhampton,Tettenhall Wood,#f6ba37,Family - Mum,Child,Student - Primary
1995,2,14,South Africa,Northern Cape,Lime Acres,Lime Acres,#f9d43a,Family - Mum,Teen,Student - Secondary
1995,3,14,South Africa,Northern Cape,Kimberley,Belgravia,#fbe63d,Boarding School,Teen,Student - Secondary
1995,25,14,South Africa,Northern Cape,Lime Acres,Lime Acres,#e5e53f,Family - Mum,Teen,Student - Secondary
1998,11,17,South Africa,Northern Cape,Kimberley,Monument Heigths,#b1d641,Private Boarding,Teen,Student - Secondary
1998,18,17,South Africa,Northern Cape,Lime Acres,Lime Acres,#86c945,Family - Mum,Teen,Student - Tertiary
2000,1,19,South Africa,Kwa-Zulu Natal,Pinetown,New Germany,#63be4a,Family - Dad,YoungAdult,Work - Design
2000,1,19,South Africa,Kwa-Zulu Natal,Pinetown,Kloof,#4db74e,Family - Dad,YoungAdult,Work - Design
2000,14,19,South Africa,Kwa-Zulu Natal,Pinetown,Gillets,#3fb34f,Houseshare,YoungAdult,Work - Design
2001,11,20,South Africa,Kwa-Zulu Natal,Ballito,Ballito,#3bb178,Family - Extended,YoungAdult,Work - Tourism
2002,4,21,South Africa,Northern Cape,Lime Acres,Lime Acres,#38afa1,Family - Inlaws,YoungAdult,Work - Unemployed
2003,14,22,South Africa,Gauteng,Centurion,Lyttelton Manor,#36adbf,Houseshare,YoungAdult,Work - IT Solutions
2004,16,23,South Africa,Gauteng,Centurion,Highveld,#34add3,Family - Extended,YoungAdult,Work - IT Solutions
2005,26,24,South Africa,Western Cape,Knysna,Upper Old Place,#33acde,Family - Inlaws,YoungAdult,Work - Tourism
2007,11,26,South Africa,Gauteng,Centurion,Mnandi,#2da5db,Houseshare,Adult,Work - Logistics
2008,9,27,South Africa,Limpopo,Mookgopong,Entabeni,#2290cd,Game Reserve,Adult,Work - Tourism
2009,1,28,Mozambique,Inhambane,Vilankulos,San Sebastian Peninsula,#1981c3,Beach Lodge,Adult,Work - Tourism
2009,6,28,South Africa,Gauteng,Centurion,Mnandi,#1479bd,Family - Inlaws,Adult,Work - Tourism
2009,2,28,United Kingdom,East Sussex,Eastbourne,Upperton,#1374ba,Houseshare,Adult,Work - Social Care
2010,16,29,United Kingdom,East Sussex,Eastbourne,Old Town,#0f74b9,Rental,Adult,Work - Insurance
2011,6,30,United Kingdom,East Sussex,Bexhill,Bexhill-on-Sea,#11539c,Rental,Adult,Work - Insurance
2011,2,30,South Africa,Gauteng,Johannesburg,Bergbron,#15357f,Family - Mum,Adult,Holiday
2012,6,31,South Africa,Kwa-Zulu Natal,Westville,Westville,#18236e,Family - Extended,Adult,Work - Beauty
2012,4,31,South Africa,Free State,Fiksburg,Fleur de Lis,#1a1b65,Family - Mum,Adult,Family Care
2012,4,31,South Africa,Gauteng,Johannesburg,Bergbron,#1b1862,Family - Mum,Adult,Family Care
2013,3,32,South Africa,Western Cape,Cape Town,Brackenfell,#2f1964,Family - Extended,Adult,Work - Unemployed
2013,5,32,South Africa,Western Cape,Knysna,Hunters Home,#8e1f6f,Rental,Adult,Work - Retail
2013,1,32,South Africa,Western Cape,Cape Town,Brackenfell,#c62375,Family - Extended,Adult,Holiday
2014,17,33,South Africa,Western Cape,Knysna,Lower Central,#e02577,Rental,Adult,Work - Insurance
2015,6,34,South Africa,Western Cape,Knysna,Lower Old Place,#e7257a,Rental,Adult,Work - Insurance
2015,13,34,South Africa,Western Cape,Knysna,Upper Central,#ea257a,Family - Inlaws,Adult,Student - Tertiary
2017,4,36,United Kingdom,West Midlands,Wolverhampton,Warstones,#b03f71,Family - Mum,Adult,Work - Recruitment
2017,10,36,United Kingdom,West Midlands,Stourbridge,Stourbridge,,Houseshare,Adult,Student - Tertiary